Date,GDP_Growth,Unemployment_Rate,Interest_Rate,Housing_Cost_Index,Inflation_Rate,Industrial_Production,Consumer_Sentiment,SP500_Returns,Yield_Curve,Corporate_Profits_Growth
2016-06-30,1.002751116502476,4.9,0.38,181.91099999999997,0.8996975806451646,98.7315,93.5,1.8992745381929854,0.91,-2.49494226644974
2016-09-30,0.9669724325451323,5.0,0.4,183.938,0.39713265229661676,98.6552,91.2,3.3070289851110823,0.83,1.2494742168644324
2016-12-31,1.0413579595735856,4.7,0.54,184.396,0.6057816698179064,99.0406,98.2,3.2542099442487427,1.25,3.0166675784597974
2017-03-31,0.9990110207356517,4.4,0.79,186.528,0.5172335628943703,99.0492,96.9,5.533688947125537,1.13,5.733244086473577
2017-06-30,0.8223978692209144,4.3,1.04,192.263,0.11111475571154994,100.337,95.0,2.568647243803057,0.93,-0.7559011615283606
2017-09-30,1.3064286431928362,4.3,1.15,194.81400000000002,0.930525919160563,99.7482,95.1,3.9593052266169604,0.86,1.5861560335133973
2017-12-31,1.7493529928381601,4.1,1.3,195.843,0.5559275265282881,101.4871,95.9,6.122586427624599,0.51,2.5979747805009
2018-03-31,1.4546275386922547,4.0,1.51,198.56799999999998,0.7150783882488243,102.1943,101.4,-1.224561133408708,0.47,2.5966281314110162
2018-06-30,1.241401687567234,4.0,1.82,204.037,0.5773769217516156,103.2256,98.2,2.934638833451486,0.33,2.097859348324138
2018-09-30,1.0583496008340187,3.7,1.95,205.36700000000002,0.4637117656901113,104.1038,100.1,7.1958510007325005,0.24,0.050363262535024766
2018-12-31,0.5728090128579888,3.9,2.27,204.69099999999997,0.23197531941216987,104.0451,98.3,-13.97160878047653,0.21,1.333351351377443
2019-03-31,0.8904636404849731,3.8,2.41,205.77,0.5973881084160526,102.8361,98.4,13.066190315637094,0.14,1.183068968539125
2019-06-30,1.3297963958055048,3.6,2.38,210.583,0.3681025023891227,102.5425,98.2,3.7877544143682496,0.25,1.0719409695810311
2019-09-30,1.4473240892176609,3.5,2.04,211.872,0.4768565864591512,102.4601,93.2,1.1890834178392762,0.05,3.4025121586485296
2019-12-31,0.9592758128616596,3.6,1.55,212.238,0.8579339390866858,101.9421,99.3,8.534169591429386,0.34,-0.933208485171122
2020-03-31,-0.8943179260345602,4.4,0.65,215.19400000000002,-0.1855933186405312,97.606,89.1,-20.0010503824639,0.47,-9.355025989087906
2020-06-30,-8.261898168535865,11.0,0.08,219.813,-0.4439279488669179,91.6745,78.1,19.952871969448594,0.5,-10.473787319327954
2020-09-30,8.710312580992351,7.8,0.09,226.80599999999998,1.1466747599259142,95.8914,80.4,8.473722059144539,0.56,33.71781964941884
2020-12-31,1.7408918477949564,6.7,0.09,234.37099999999998,0.7901489126796779,98.2039,80.7,11.688078155199966,0.8,-10.44286680897506
2021-03-31,2.6138298155390816,6.1,0.07,244.21599999999998,1.1087574664605748,98.1929,84.9,5.77251809132131,1.58,12.32458559465115
2021-06-30,3.0627050176801562,5.9,0.08,261.17400000000004,2.1720584349401495,99.6483,85.5,8.170629345361146,1.2,8.132804726640131
2021-09-30,2.303806715695056,4.7,0.08,271.442,1.1907752785741854,98.9955,72.8,0.23362510907505296,1.24,-1.6572429996533522
2021-12-31,3.464815709850355,3.9,0.08,278.593,2.5269545469482013,101.1948,70.6,10.647379538196212,0.79,-1.227639974260497
2022-03-31,1.5190388585855752,3.6,0.2,294.992,2.4019970940998947,102.6732,59.4,-4.9467290542075215,0.04,-0.9510977315767888
2022-06-30,2.0582309019623324,3.6,1.21,308.21,2.588392400705253,102.8224,50.0,-16.445095427169687,0.06,8.59187282971341
2022-09-30,1.763080123673899,3.5,2.56,300.418,0.4559383856052479,103.5326,58.6,-5.277139198948255,-0.39,1.548609764495712
2022-12-31,1.5917358960053196,3.5,4.1,294.325,0.8338366948886566,101.8266,59.8,7.080501406034023,-0.53,-1.977986392789588
2023-03-31,1.53434484210615,3.5,4.65,297.55,0.9812189604165855,102.8143,62.0,7.027218611635622,-0.58,-4.129019689757785
2023-06-30,0.9301660004562562,3.6,5.08,308.52099999999996,0.7486478604379787,102.3809,64.2,8.299929169508037,-1.06,0.5103923090384432
2023-09-30,2.0216375028766276,3.8,5.33,312.645,1.0805814416305237,103.3081,67.8,-3.647555543559855,-0.44,3.6943526600146326
2023-12-31,1.2563143495749163,3.7,5.33,311.05,0.47317174767644854,102.6309,69.7,11.23541692334915,-0.35,3.900510354423692
2024-03-31,1.1166291888706992,3.8,5.33,316.858,1.1297458719578213,102.5001,79.4,10.158014260367798,-0.39,-2.7229607136512124
2024-06-30,1.3554092524953099,4.1,5.33,325.23400000000004,0.262306632930831,103.5494,68.2,3.9230328961986416,-0.35,1.7284520174136064
